company|weight|company_link
General Motors Company|0.252055|http://www.google.com/finance?q=GM
salesforce.com inc.|0.249782|http://www.google.com/finance?q=CRM
FedEx Corporation|0.247807|http://www.google.com/finance?q=FDX
Charles Schwab Corporation|0.246016|http://www.google.com/finance?q=SCHW
Southern Company|0.243729|http://www.google.com/finance?q=SO
Ford Motor Company|0.242836|http://www.google.com/finance?q=F
Dominion Resources Inc.|0.239033|http://www.google.com/finance?q=D
BlackRock Inc.|0.238825|http://www.google.com/finance?q=BLK
Aetna Inc.|0.237182|http://www.google.com/finance?q=AET
American Tower Corporation|0.237126|http://www.google.com/finance?q=AMT
Target Corporation|0.236657|http://www.google.com/finance?q=TGT
PayPal Holdings Inc|0.235815|http://www.google.com/finance?q=PYPL
Reynolds American Inc.|0.235333|http://www.google.com/finance?q=RAI
Monsanto Company|0.234975|http://www.google.com/finance?q=MON
Prudential Financial Inc.|0.233570|http://www.google.com/finance?q=PRU
Northrop Grumman Corporation|0.233283|http://www.google.com/finance?q=NOC
Automatic Data Processing Inc.|0.230354|http://www.google.com/finance?q=ADP
Raytheon Company|0.230202|http://www.google.com/finance?q=RTN
Capital One Financial Corporation|0.226419|http://www.google.com/finance?q=COF
Johnson Controls International plc|0.225416|http://www.google.com/finance?q=JCI
Halliburton Company|0.222337|http://www.google.com/finance?q=HAL
Kinder Morgan Inc Class P|0.220866|http://www.google.com/finance?q=KMI
Kimberly-Clark Corporation|0.215447|http://www.google.com/finance?q=KMB
Illinois Tool Works Inc.|0.211313|http://www.google.com/finance?q=ITW
Hewlett Packard Enterprise Co.|0.204583|http://www.google.com/finance?q=HPE
CME Group Inc. Class A|0.199420|http://www.google.com/finance?q=CME
Phillips 66|0.199220|http://www.google.com/finance?q=PSX
Anthem Inc.|0.197517|http://www.google.com/finance?q=ANTM
Delta Air Lines Inc.|0.193268|http://www.google.com/finance?q=DAL
BB&T; Corporation|0.191415|http://www.google.com/finance?q=BBT
General Mills Inc.|0.191174|http://www.google.com/finance?q=GIS
Marsh & McLennan Companies Inc.|0.189258|http://www.google.com/finance?q=MMC
Yahoo! Inc.|0.187233|http://www.google.com/finance?q=YHOO
Cigna Corporation|0.187175|http://www.google.com/finance?q=CI
Becton Dickinson and Company|0.187021|http://www.google.com/finance?q=BDX
Anadarko Petroleum Corporation|0.186030|http://www.google.com/finance?q=APC
Emerson Electric Co.|0.185259|http://www.google.com/finance?q=EMR
Stryker Corporation|0.183440|http://www.google.com/finance?q=SYK
Applied Materials Inc.|0.181447|http://www.google.com/finance?q=AMAT
Praxair Inc.|0.177118|http://www.google.com/finance?q=PX
CSX Corporation|0.175116|http://www.google.com/finance?q=CSX
Travelers Companies Inc.|0.173525|http://www.google.com/finance?q=TRV
Intercontinental Exchange Inc.|0.169216|http://www.google.com/finance?q=ICE
Kroger Co.|0.168010|http://www.google.com/finance?q=KR
McKesson Corporation|0.166244|http://www.google.com/finance?q=MCK
S&P; Global Inc.|0.166124|http://www.google.com/finance?q=SPGI
Pioneer Natural Resources Company|0.165052|http://www.google.com/finance?q=PXD
Cognizant Technology Solutions Corporation Class A|0.164609|http://www.google.com/finance?q=CTSH
Regeneron Pharmaceuticals Inc.|0.163513|http://www.google.com/finance?q=REGN
Twenty-First Century Fox Inc. Class A|0.162408|http://www.google.com/finance?q=FOXA
Humana Inc.|0.162076|http://www.google.com/finance?q=HUM
Ecolab Inc.|0.161990|http://www.google.com/finance?q=ECL
Norfolk Southern Corporation|0.161457|http://www.google.com/finance?q=NSC
Air Products and Chemicals Inc.|0.161253|http://www.google.com/finance?q=APD
eBay Inc.|0.159640|http://www.google.com/finance?q=EBAY
Crown Castle International Corp|0.159363|http://www.google.com/finance?q=CCI
Eaton Corp. Plc|0.159164|http://www.google.com/finance?q=ETN
Deere & Company|0.158909|http://www.google.com/finance?q=DE
Valero Energy Corporation|0.158456|http://www.google.com/finance?q=VLO
Southwest Airlines Co.|0.157936|http://www.google.com/finance?q=LUV
Public Storage|0.157930|http://www.google.com/finance?q=PSA
Aon plc|0.157226|http://www.google.com/finance?q=AON
Exelon Corporation|0.155776|http://www.google.com/finance?q=EXC
Aflac Incorporated|0.155047|http://www.google.com/finance?q=AFL
LyondellBasell Industries NV|0.154800|http://www.google.com/finance?q=LYB
Spectra Energy Corp|0.154098|http://www.google.com/finance?q=SE
PG&E; Corporation|0.152376|http://www.google.com/finance?q=PCG
State Street Corporation|0.151435|http://www.google.com/finance?q=STT
American Electric Power Company Inc.|0.151143|http://www.google.com/finance?q=AEP
Waste Management Inc.|0.150037|http://www.google.com/finance?q=WM
Boston Scientific Corporation|0.148920|http://www.google.com/finance?q=BSX
Intuit Inc.|0.148788|http://www.google.com/finance?q=INTU
Discover Financial Services|0.146926|http://www.google.com/finance?q=DFS
Sysco Corporation|0.146342|http://www.google.com/finance?q=SYY
Ross Stores Inc.|0.145961|http://www.google.com/finance?q=ROST
Synchrony Financial|0.145237|http://www.google.com/finance?q=SYF
Constellation Brands Inc. Class A|0.142638|http://www.google.com/finance?q=STZ
Allstate Corporation|0.142514|http://www.google.com/finance?q=ALL
Baker Hughes Incorporated|0.141779|http://www.google.com/finance?q=BHI
Alexion Pharmaceuticals Inc.|0.139542|http://www.google.com/finance?q=ALXN
O'Reilly Automotive Inc.|0.139392|http://www.google.com/finance?q=ORLY
SunTrust Banks Inc.|0.137457|http://www.google.com/finance?q=STI
Fidelity National Information Services Inc.|0.137360|http://www.google.com/finance?q=FIS
Prologis Inc.|0.136593|http://www.google.com/finance?q=PLD
PPG Industries Inc.|0.135679|http://www.google.com/finance?q=PPG
Activision Blizzard Inc.|0.134966|http://www.google.com/finance?q=ATVI
HP Inc.|0.133500|http://www.google.com/finance?q=HPQ
Archer-Daniels-Midland Company|0.132933|http://www.google.com/finance?q=ADM
Marriott International Inc. Class A|0.132526|http://www.google.com/finance?q=MAR
Marathon Petroleum Corporation|0.132176|http://www.google.com/finance?q=MPC
Zoetis Inc. Class A|0.131555|http://www.google.com/finance?q=ZTS
Sempra Energy|0.130416|http://www.google.com/finance?q=SRE
CBS Corporation Class B|0.130286|http://www.google.com/finance?q=CBS
Intuitive Surgical Inc.|0.128493|http://www.google.com/finance?q=ISRG
American Airlines Group Inc.|0.128462|http://www.google.com/finance?q=AAL
Equinix Inc.|0.126109|http://www.google.com/finance?q=EQIX
TE Connectivity Ltd.|0.125866|http://www.google.com/finance?q=TEL
Apache Corporation|0.125525|http://www.google.com/finance?q=APA
AutoZone Inc.|0.125192|http://www.google.com/finance?q=AZO
Electronic Arts Inc.|0.125174|http://www.google.com/finance?q=EA
Fiserv Inc.|0.124744|http://www.google.com/finance?q=FISV
Weyerhaeuser Company|0.124293|http://www.google.com/finance?q=WY
Devon Energy Corporation|0.123445|http://www.google.com/finance?q=DVN
Newell Brands Inc|0.121515|http://www.google.com/finance?q=NWL
Cardinal Health Inc.|0.120848|http://www.google.com/finance?q=CAH
Corning Incorporated|0.120672|http://www.google.com/finance?q=GLW
Baxter International Inc.|0.120221|http://www.google.com/finance?q=BAX
Carnival Corporation|0.119797|http://www.google.com/finance?q=CCL.U
M&T; Bank Corporation|0.119330|http://www.google.com/finance?q=MTB
St. Jude Medical Inc.|0.119027|http://www.google.com/finance?q=STJ
Analog Devices Inc.|0.118531|http://www.google.com/finance?q=ADI
Edison International|0.117162|http://www.google.com/finance?q=EIX
Cummins Inc.|0.116651|http://www.google.com/finance?q=CMI
PPL Corporation|0.116180|http://www.google.com/finance?q=PPL
Welltower Inc.|0.116113|http://www.google.com/finance?q=HCN
Yum! Brands Inc.|0.115486|http://www.google.com/finance?q=YUM
AvalonBay Communities Inc.|0.115068|http://www.google.com/finance?q=AVB
Sherwin-Williams Company|0.114784|http://www.google.com/finance?q=SHW
Equity Residential|0.113173|http://www.google.com/finance?q=EQR
PACCAR Inc|0.113159|http://www.google.com/finance?q=PCAR
Vertex Pharmaceuticals Incorporated|0.112989|http://www.google.com/finance?q=VRTX
HCA Holdings Inc.|0.111764|http://www.google.com/finance?q=HCA
Consolidated Edison Inc.|0.110681|http://www.google.com/finance?q=ED
Dollar Tree Inc.|0.109511|http://www.google.com/finance?q=DLTR
Ventas Inc.|0.109487|http://www.google.com/finance?q=VTR
Omnicom Group Inc|0.109259|http://www.google.com/finance?q=OMC
Amphenol Corporation Class A|0.109120|http://www.google.com/finance?q=APH
Williams Companies Inc.|0.108948|http://www.google.com/finance?q=WMB
United Continental Holdings Inc.|0.108528|http://www.google.com/finance?q=UAL
Dollar General Corporation|0.108485|http://www.google.com/finance?q=DG
Public Service Enterprise Group Inc|0.107524|http://www.google.com/finance?q=PEG
Micron Technology Inc.|0.107495|http://www.google.com/finance?q=MU
Fifth Third Bancorp|0.105634|http://www.google.com/finance?q=FITB
Zimmer Biomet Holdings Inc.|0.105575|http://www.google.com/finance?q=ZBH
International Paper Company|0.104775|http://www.google.com/finance?q=IP
Freeport-McMoRan Inc.|0.103887|http://www.google.com/finance?q=FCX
Nucor Corporation|0.103603|http://www.google.com/finance?q=NUE
Illumina Inc.|0.103498|http://www.google.com/finance?q=ILMN
Xcel Energy Inc.|0.102981|http://www.google.com/finance?q=XEL
Ingersoll-Rand Plc|0.101781|http://www.google.com/finance?q=IR
Progressive Corporation|0.101696|http://www.google.com/finance?q=PGR
Concho Resources Inc.|0.101004|http://www.google.com/finance?q=CXO
V.F. Corporation|0.099783|http://www.google.com/finance?q=VFC
KeyCorp|0.099196|http://www.google.com/finance?q=KEY
Hartford Financial Services Group Inc.|0.098908|http://www.google.com/finance?q=HIG
Monster Beverage Corporation|0.098557|http://www.google.com/finance?q=MNST
Ameriprise Financial Inc.|0.098473|http://www.google.com/finance?q=AMP
Boston Properties Inc.|0.098366|http://www.google.com/finance?q=BXP
Roper Technologies Inc.|0.097082|http://www.google.com/finance?q=ROP
Parker-Hannifin Corporation|0.097061|http://www.google.com/finance?q=PH
Paychex Inc.|0.096873|http://www.google.com/finance?q=PAYX
Edwards Lifesciences Corporation|0.096816|http://www.google.com/finance?q=EW
Kellogg Company|0.096743|http://www.google.com/finance?q=K
Delphi Automotive PLC|0.096620|http://www.google.com/finance?q=DLPH
T. Rowe Price Group|0.096438|http://www.google.com/finance?q=TROW
Stanley Black & Decker Inc.|0.095228|http://www.google.com/finance?q=SWK
Molson Coors Brewing Company Class B|0.095211|http://www.google.com/finance?q=TAP
L Brands Inc.|0.093642|http://www.google.com/finance?q=LB
Tyson Foods Inc. Class A|0.092163|http://www.google.com/finance?q=TSN
WEC Energy Group Inc|0.091973|http://www.google.com/finance?q=WEC
Northern Trust Corporation|0.091752|http://www.google.com/finance?q=NTRS
Estee Lauder Companies Inc. Class A|0.090508|http://www.google.com/finance?q=EL
Rockwell Automation Inc.|0.090122|http://www.google.com/finance?q=ROK
Vulcan Materials Company|0.090039|http://www.google.com/finance?q=VMC
Western Digital Corporation|0.089896|http://www.google.com/finance?q=WDC
Vornado Realty Trust|0.089341|http://www.google.com/finance?q=VNO
Lam Research Corporation|0.089318|http://www.google.com/finance?q=LRCX
Citizens Financial Group Inc.|0.089044|http://www.google.com/finance?q=CFG
Moody's Corporation|0.088958|http://www.google.com/finance?q=MCO
Mylan N.V.|0.088922|http://www.google.com/finance?q=MYL
Regions Financial Corporation|0.088914|http://www.google.com/finance?q=RF
Fortive Corp.|0.087446|http://www.google.com/finance?q=FTV
Newmont Mining Corporation|0.087391|http://www.google.com/finance?q=NEM
DTE Energy Company|0.086605|http://www.google.com/finance?q=DTE
Eversource Energy|0.085846|http://www.google.com/finance?q=ES
Level 3 Communications Inc.|0.085794|http://www.google.com/finance?q=LVLT
Dr Pepper Snapple Group Inc.|0.084963|http://www.google.com/finance?q=DPS
Willis Towers Watson Public Limited Company|0.084772|http://www.google.com/finance?q=WLTW
Conagra Brands Inc.|0.083541|http://www.google.com/finance?q=CAG
Principal Financial Group Inc.|0.082183|http://www.google.com/finance?q=PFG
Noble Energy Inc.|0.080912|http://www.google.com/finance?q=NBL
C. R. Bard Inc.|0.080623|http://www.google.com/finance?q=BCR
Ulta Salon Cosmetics & Fragrance Inc.|0.080602|http://www.google.com/finance?q=ULTA
Lincoln National Corporation|0.080303|http://www.google.com/finance?q=LNC
Symantec Corporation|0.079593|http://www.google.com/finance?q=SYMC
Cerner Corporation|0.079465|http://www.google.com/finance?q=CERN
